r,trajectory_id,step_id,PL,RMS,PL_minus_RMS,abs_PL_minus_RMS,PL_RMS_ratio,PL_plus_RMS,RMS_PL_ratio
1260.5078341684357,11,4,63.3,9.06,54.24,54.24,6.99,72.36,0.14
1427.4522759097763,11,5,64.0,9.3,54.7,54.7,6.88,73.3,0.15
1159.8318843694549,11,6,63.2,8.45,54.75,54.75,7.48,71.65,0.13
1168.8186343483749,11,7,62.8,8.18,54.62,54.62,7.68,70.98,0.13
1692.200047275735,11,8,63.6,8.9,54.7,54.7,7.15,72.5,0.14
1801.039977346422,11,9,63.6,9.0,54.6,54.6,7.07,72.6,0.14
1640.322529260633,12,0,63.4,8.61,54.79,54.79,7.36,72.01,0.14
1979.4739200100616,12,1,64.2,9.12,55.08,55.08,7.04,73.32,0.14
1775.6534008640313,12,2,63.4,8.86,54.54,54.54,7.16,72.26,0.14
2134.3263574252182,12,3,63.7,8.94,54.76,54.76,7.13,72.64,0.14
2089.0670166368527,12,4,63.7,8.97,54.73,54.73,7.1,72.67,0.14
2526.4419645026483,12,5,62.7,8.24,54.46,54.46,7.61,70.94,0.13
2321.748048346332,12,6,63.9,8.96,54.94,54.94,7.13,72.86,0.14
1827.250666985786,12,7,62.7,8.03,54.67,54.67,7.81,70.73,0.13
2252.638009090675,12,8,64.2,9.29,54.91,54.91,6.91,73.49,0.14
2067.8824918258774,12,9,64.0,9.22,54.78,54.78,6.94,73.22,0.14
1499.2431423888522,13,0,64.7,9.85,54.85,54.85,6.57,74.55,0.15
1207.3462635052133,13,1,62.7,8.32,54.38,54.38,7.54,71.02,0.13
1674.207275100667,13,2,63.4,8.39,55.01,55.01,7.56,71.79,0.13
1335.3389082925728,13,3,63.4,9.02,54.38,54.38,7.03,72.42,0.14
901.2641122334784,13,4,62.4,8.77,53.63,53.63,7.12,71.17,0.14
1461.7198774046965,13,5,63.8,8.73,55.07,55.07,7.31,72.53,0.14
1413.4896533048975,13,6,63.5,8.93,54.57,54.57,7.11,72.43,0.14
1753.411817001357,13,7,63.8,9.02,54.78,54.78,7.07,72.82,0.14
2329.1423314172966,13,8,62.4,8.01,54.39,54.39,7.79,70.41,0.13
2630.898135618329,13,9,63.8,9.31,54.49,54.49,6.85,73.11,0.15
1729.6118061576708,14,0,62.1,7.7,54.4,54.4,8.06,69.8,0.12
1383.0708586330636,14,1,62.2,8.44,53.76,53.76,7.37,70.64,0.14
1065.0671340342824,14,2,62.0,8.14,53.86,53.86,7.62,70.14,0.13
